time,high
0,1.09222
1,1.09233
2,1.09325
3,1.09264
4,1.09253
5,1.09093
6,1.09082
7,1.09093
8,1.09135
9,1.09163
10,1.09257
11,1.09451
12,1.09709
13,1.09717
14,1.09535
15,1.09539
16,1.09485
17,1.09557
18,1.0974
19,1.0981
20,1.09716
21,1.09666
22,1.0956
23,1.09465
24,1.09424
25,1.09414
26,1.09382
27,1.09491
28,1.09468
29,1.09653
30,1.09747
31,1.09801
32,1.09815
33,1.09769
34,1.09934
35,1.10036
36,1.09994
37,1.09991
38,1.09876
39,1.09942
40,1.0987
41,1.09886
42,1.0975
43,1.09569
44,1.09454
45,1.09346
46,1.09464
47,1.0948
48,1.09518
49,1.09573
50,1.0966
51,1.09637
52,1.0963
53,1.09714
54,1.09699
55,1.09678
56,1.09714
57,1.09767
58,1.0968
59,1.09819
60,1.09907
61,1.09997
62,1.10115
63,1.0998
64,1.09956
65,1.10134
66,1.10061
67,1.10025
68,1.0992
69,1.09803
70,1.10192
71,1.10394
72,1.10338
73,1.10201
74,1.10207
75,1.10364
76,1.1041
77,1.10367
78,1.10374
79,1.10345
80,1.10291
81,1.10305
82,1.10381
83,1.10535
84,1.10482
85,1.10386
86,1.10523
87,1.10525
88,1.10575
89,1.10796
90,1.10957
91,1.11191
92,1.11303
93,1.11131
94,1.10967
95,1.10948
96,1.10924
97,1.1093
98,1.10947
99,1.11077
100,1.10947
101,1.1086
102,1.10837
103,1.1082
104,1.10806
105,1.10883
106,1.10804
107,1.1068
108,1.10627
109,1.10459
110,1.10313
111,1.10259
112,1.10147
113,1.10342
114,1.10403
115,1.10574
116,1.10574
117,1.10507
118,1.10518
119,1.10508
120,1.1055
121,1.10503
122,1.10444
123,1.1043
124,1.10491
125,1.10468
126,1.10485
127,1.10431
128,1.10408
129,1.10407
130,1.10455
131,1.10547
132,1.1061
133,1.10517
134,1.10357
135,1.10365
136,1.10384
137,1.10373
138,1.10443
139,1.10393
140,1.10311
141,1.1023
142,1.10149
143,1.1015
144,1.10174
145,1.10216
146,1.10182
147,1.09993
148,1.09906
149,1.09967
150,1.10011
151,1.09936
152,1.0986
153,1.09769
154,1.0972
155,1.09964
156,1.10034
157,1.0997
158,1.09985
159,1.10171
160,1.10294
161,1.10372
162,1.10247
163,1.10176
164,1.10222
165,1.10231
166,1.10262
167,1.10301
168,1.10279
169,1.10366
170,1.10305
171,1.10265
172,1.10268
173,1.10299
174,1.10303
175,1.10264
176,1.10335
177,1.10353
178,1.10254
179,1.10171
180,1.10032
181,1.10015
182,1.09909
183,1.09879
184,1.09776
185,1.09773
186,1.0991
187,1.10027
188,1.10021
189,1.10079
190,1.10074
191,1.10074
192,1.10091
193,1.10057
194,1.10051
195,1.10075
196,1.09929
197,1.09862
198,1.09861
199,1.0984
200,1.09815
201,1.09823
202,1.09812
203,1.09867
204,1.09871
205,1.09875
206,1.09869
207,1.09852
208,1.0975
209,1.09851
210,1.10037
211,1.09969
212,1.09906
213,1.09959
214,1.10012
215,1.09982
216,1.0998
217,1.10021
218,1.10068
219,1.10073
220,1.10218
221,1.10298
222,1.10301
223,1.10319
224,1.10295
225,1.10242
226,1.10261
227,1.10187
228,1.10107
229,1.10082
230,1.10164
231,1.10105
232,1.10054
233,1.10158
234,1.10019
235,1.09864
236,1.09889
237,1.09902
238,1.09864
239,1.09844
240,1.09844
241,1.09826
242,1.0981
243,1.0976
244,1.09644
245,1.09566
246,1.09547
247,1.09536
248,1.09496
249,1.09569
250,1.09543
251,1.0972
252,1.09808
253,1.09825
254,1.09764
255,1.09608
256,1.09596
257,1.09714
258,1.09713
259,1.09868
260,1.09911
261,1.0984
262,1.09825
263,1.09865
264,1.09855
265,1.09888
266,1.09931
267,1.09831
268,1.09842
269,1.09911
270,1.09893
271,1.09912
272,1.09838
273,1.09959
274,1.10079
275,1.09923
276,1.10106
277,1.10464
278,1.10672
279,1.11041
280,1.11172
281,1.11112
282,1.11077
283,1.10925
284,1.10773
285,1.10822
286,1.10889
287,1.10861
288,1.10857
289,1.10927
290,1.10925
291,1.10931
292,1.11037
293,1.11086
294,1.1115
295,1.11155
296,1.11105
297,1.11134
298,1.11235
299,1.11356
300,1.11526
301,1.11314
302,1.11368
303,1.11261
304,1.11425
305,1.11611
306,1.11621
307,1.11588
308,1.11529
309,1.1155
310,1.11572
311,1.11562
312,1.11591
313,1.11607
314,1.116
315,1.11657
316,1.11781
317,1.11713
318,1.11655
319,1.1161
320,1.11627
321,1.11623
322,1.11629
323,1.11322
324,1.1119
325,1.11018
326,1.11006
327,1.11038
328,1.10878
329,1.11017
330,1.11123
331,1.1085
332,1.10865
333,1.10728
334,1.10683
335,1.10682
336,1.10663
337,1.10713
338,1.10709
339,1.10671
340,1.10682
341,1.10679
342,1.10651
343,1.10656
344,1.10691
345,1.1064
346,1.10594
347,1.10615
348,1.10513
349,1.10576
350,1.1058
351,1.10481
352,1.10464
353,1.1039
354,1.10373
355,1.10441
356,1.10377
357,1.10433
358,1.10435
359,1.10484
360,1.10409
361,1.10411
362,1.10433
363,1.10492
364,1.10491
365,1.10492
366,1.10503
367,1.10479
368,1.10494
369,1.10451
370,1.10351
371,1.10291
372,1.10207
373,1.10074
374,1.10023
375,1.10024
376,1.09922
377,1.09889
378,1.09959
379,1.09837
380,1.097
381,1.09668
382,1.09724
383,1.09718
384,1.09743
385,1.09728
386,1.09737
387,1.09752
388,1.09722
389,1.09693
390,1.09704
391,1.09674
392,1.09673
393,1.09723
394,1.098
395,1.09736
396,1.09763
397,1.09673
398,1.09702
399,1.0964
400,1.09673
401,1.0952
402,1.09305
403,1.09178
404,1.09163
405,1.09091
406,1.09028
407,1.09047
408,1.09052
409,1.09065
410,1.09065
411,1.09003
412,1.08935
413,1.08973
414,1.08994
415,1.08974
416,1.08922
417,1.08815
418,1.0893
419,1.09092
420,1.09164
421,1.09065
422,1.09118
423,1.09276
424,1.09249
425,1.09147
426,1.09127
427,1.09098
428,1.09051
429,1.09032
430,1.0899
431,1.08983
432,1.08972
433,1.08971
434,1.08974
435,1.09045
436,1.09087
437,1.09082
438,1.09089
439,1.0911
440,1.09151
441,1.09235
442,1.09069
443,1.08881
444,1.08811
445,1.08927
446,1.09063
447,1.09181
448,1.09229
449,1.09109
450,1.09054
451,1.08883
452,1.08845
453,1.08813
454,1.08751
455,1.0876
456,1.08799
457,1.08776
458,1.08678
459,1.08649
460,1.08643
461,1.08627
462,1.08608
463,1.08594
464,1.08614
465,1.0864
466,1.0858
467,1.08699
468,1.0872
469,1.08775
470,1.08735
471,1.08583
472,1.08471
473,1.08603
474,1.08758
475,1.08722
476,1.08703
477,1.08775
478,1.08799
479,1.08757
480,1.09098
481,1.09
482,1.08892
483,1.08865
484,1.08901
485,1.08831
486,1.08815
487,1.08839
488,1.08872
489,1.08837
490,1.08957
491,1.09116
492,1.09159
493,1.09191
494,1.09057
495,1.08992
496,1.08925
497,1.08881
498,1.08866
499,1.08788
500,1.08832
501,1.08878
502,1.08862
503,1.08828
504,1.08844
505,1.08834
506,1.08812
507,1.08792
508,1.08705
509,1.08709
510,1.08741
511,1.08788
512,1.0876
513,1.08663
514,1.0863
515,1.08633
516,1.08669
517,1.08698
518,1.08616
519,1.08776
520,1.0886
521,1.08794
522,1.08635
523,1.08485
524,1.08363
525,1.08267
526,1.08308
527,1.08288
528,1.08285
529,1.08288
530,1.08261
531,1.08204
532,1.08227
533,1.08333
534,1.08369
535,1.08342
536,1.08368
537,1.08332
538,1.08276
539,1.08331
540,1.08311
541,1.08294
542,1.0837
543,1.0825
544,1.08181
545,1.08317
546,1.08594
547,1.08831
548,1.08798
549,1.08795
550,1.08868
551,1.0888
552,1.08891
553,1.089
554,1.08933
555,1.08914
556,1.08959
557,1.09051
558,1.09058
559,1.09082
560,1.09137
561,1.09168
562,1.09116
563,1.09078
564,1.09098
565,1.09092
566,1.08905
567,1.0867
568,1.08032
569,1.07837
570,1.07957
571,1.08133
572,1.0818
573,1.0826
574,1.08293
575,1.08295
576,1.08287
577,1.08253
578,1.08203
579,1.08104
580,1.08111
581,1.08056
582,1.08026
583,1.08044
584,1.0806
585,1.08051
586,1.08074
587,1.08164
588,1.08163
589,1.08124
590,1.08107
591,1.0816
592,1.08102
593,1.08096
594,1.08081
595,1.08081
596,1.08085
597,1.08099
598,1.08085
599,1.08122
600,1.08076
601,1.08125
602,1.08173
603,1.08048
604,1.0804
605,1.08027
606,1.07968
607,1.07931
608,1.07919
609,1.07953
610,1.07955
611,1.07889
612,1.07942
613,1.07959
614,1.08072
615,1.08069
616,1.08039
617,1.07979
618,1.07906
619,1.07783
620,1.07777
621,1.07845
622,1.07812
623,1.07824
624,1.07799
625,1.07825
626,1.07802
627,1.07804
628,1.078
629,1.07696
630,1.07713
631,1.07746
632,1.0772
633,1.07776
634,1.07922
635,1.08039
636,1.08026
637,1.07915
638,1.07913
639,1.07966
640,1.07972
641,1.07957
642,1.07892
643,1.07911
644,1.07961
645,1.07886
646,1.07876
647,1.07885
648,1.07882
649,1.07901
650,1.07913
651,1.07931
652,1.07924
653,1.08011
654,1.08146
655,1.08186
656,1.08165
657,1.08132
658,1.08129
659,1.08235
660,1.08484
661,1.08585
662,1.08423
663,1.08269
664,1.08329
665,1.08537
666,1.08565
667,1.08504
668,1.08463
669,1.08488
670,1.08476
671,1.08516
672,1.085
673,1.08509
674,1.08509
675,1.0841
676,1.08393
677,1.08309
678,1.08278
679,1.08324
680,1.08419
681,1.08749
682,1.09122
683,1.09207
684,1.09168
685,1.09109
686,1.08879
687,1.08847
688,1.08834
689,1.08586
690,1.08483
691,1.08416
692,1.0848
693,1.08445
694,1.08364
695,1.08366
696,1.08372
697,1.08364
698,1.0837
699,1.08375
700,1.08413
701,1.08397
702,1.08365
703,1.08457
704,1.08452
705,1.08384
706,1.08159
707,1.0801
708,1.08005
709,1.08075
710,1.08199
711,1.08192
712,1.08237
713,1.07963
714,1.07814
715,1.07842
716,1.07868
717,1.07901
718,1.07934
719,1.07969
720,1.08045
721,1.08061
722,1.08082
723,1.08062
724,1.07942
725,1.07832
726,1.07844
727,1.07788
728,1.07737
729,1.07424
730,1.07273
731,1.07442
732,1.07397
733,1.07282
734,1.07363
735,1.07453
736,1.07297
737,1.0713
738,1.07077
739,1.07078
740,1.07137
741,1.07143
742,1.07116
743,1.07122
744,1.07129
745,1.07125
746,1.07109
747,1.07216
748,1.07272
749,1.07278
750,1.07341
751,1.07299
752,1.07281
753,1.07175
754,1.06933
755,1.06824
756,1.06889
757,1.06882
758,1.06816
759,1.0677
760,1.06746
761,1.06597
762,1.06554
763,1.06594
764,1.06537
765,1.0646
766,1.06429
767,1.06399
768,1.0638
769,1.06404
770,1.06452
771,1.06408
772,1.06415
773,1.06439
774,1.0639
775,1.06441
776,1.06511
777,1.0634
778,1.06084
779,1.06053
780,1.06035
781,1.06131
782,1.05958
783,1.05655
784,1.05473
785,1.05344
786,1.05344
787,1.05584
788,1.05654
789,1.05641
790,1.05579
791,1.05584
792,1.05576
793,1.05541
794,1.0553
795,1.05425
796,1.05443
797,1.05401
798,1.05249
799,1.05179
800,1.05037
801,1.05187
802,1.05402
803,1.05355
804,1.05263
805,1.05132
806,1.04981
807,1.04978
808,1.04979
809,1.05008
810,1.05141
811,1.05044
812,1.05065
813,1.05042
814,1.05072
815,1.05044
816,1.05002
817,1.04968
818,1.04994
819,1.05098
820,1.05225
821,1.05142
822,1.05132
823,1.05149
824,1.05294
825,1.054
826,1.05574
827,1.05755
828,1.05731
829,1.05698
830,1.05595
831,1.05284
832,1.05319
833,1.0539
834,1.05436
835,1.05412
836,1.05638
837,1.05693
838,1.05577
839,1.05465
840,1.05524
841,1.05448
842,1.05418
843,1.054
844,1.05276
845,1.05229
846,1.05225
847,1.05207
848,1.0516
849,1.0531
850,1.05503
851,1.0531
852,1.05259
853,1.05246
854,1.05208
855,1.05207
856,1.05154
857,1.05284
858,1.05139
859,1.05143
860,1.05018
861,1.0495
862,1.05017
863,1.0505
864,1.05056
865,1.05093
866,1.05085
867,1.05173
868,1.0521
869,1.05179
870,1.05137
871,1.0513
872,1.05043
873,1.05045
874,1.05113
875,1.0513
876,1.05032
877,1.05125
878,1.05206
879,1.05574
880,1.05605
881,1.055
882,1.054
883,1.0522
884,1.05275
885,1.05216
886,1.05234
887,1.05231
888,1.05228
889,1.0525
890,1.05228
891,1.05272
892,1.05259
893,1.05252
894,1.0519
895,1.05177
896,1.05149
897,1.0515
898,1.05181
899,1.05259
900,1.05244
901,1.05263
902,1.05299
903,1.05405
904,1.05439
905,1.05377
906,1.05506
907,1.05417
908,1.05435
909,1.05448
910,1.05652
911,1.06181
912,1.06242
913,1.06151
914,1.06135
915,1.0616
916,1.06263
917,1.06222
918,1.06217
919,1.06139
920,1.06128
921,1.06057
922,1.05958
923,1.05911
924,1.05977
925,1.05973
926,1.05746
927,1.05607
928,1.05541
929,1.0543
930,1.05183
931,1.0504
932,1.05159
933,1.05116
934,1.05337
935,1.05444
936,1.05416
937,1.05438
938,1.05429
939,1.05422
940,1.05306
941,1.05269
942,1.05331
943,1.05303
944,1.05278
945,1.05042
946,1.05134
947,1.05469
948,1.05635
949,1.05839
